name,pointx_class,lat,lon,poi_class,Entertainment,Gambling,Sports
The Comedy Store Ltd,4250315.0,51.51015196602543,-0.1323815349695635,Entertainment,1,0,0
Awesome C I C,4210271.0,51.54775432533825,-0.0823952093267446,Entertainment,1,0,0
Goulds Green Riding School,4230321.0,51.51790994841729,-0.4452209226211622,Sports,0,0,1
Weir Archer Athletics & Fitness Centre,4240293.0,51.4050153006848,-0.2832214364090591,Sports,0,0,1
Afro Caribbean Centre,4250314.0,51.52829899276824,0.0325846307568524,Entertainment,1,0,0
Theatre Peckham,4210273.0,51.474444431316265,-0.0829080171841497,Entertainment,1,0,0
Heston Catholic Social Club,4250314.0,51.488250569388654,-0.3730015881176041,Entertainment,1,0,0
Ability Bow Within St Pauls Church,4240293.0,51.53311376790305,-0.0325026513650836,Sports,0,0,1
The Venue,4250312.0,51.47594355322289,-0.0367724625584822,Entertainment,1,0,0
Cameron Mackintosh,4210273.0,51.5190285828896,-0.1286081038783247,Entertainment,1,0,0
London Bubble Theatre Company,4210273.0,51.50048192650674,-0.0552901613328082,Entertainment,1,0,0
Sudbury Golf Club Ltd,4240292.0,51.5477773337987,-0.312885816832085,Sports,0,0,1
St Peter's Italian Catholic Social Club,4250314.0,51.5221852001392,-0.1094452647736193,Entertainment,1,0,0
Kruger Cowne,4210273.0,51.47936078207567,-0.179219800937057,Entertainment,1,0,0
Olympian Fitness,4240293.0,51.50989200309758,-0.3994523256884489,Sports,0,0,1
Turtle Key Arts,4210273.0,51.49324741364506,-0.2263059056857407,Entertainment,1,0,0
Bellegrove Social Club,4250314.0,51.46366994093695,0.10234326349386,Entertainment,1,0,0
International Event Management Ltd,4210273.0,51.51750735970365,-0.1804086421714684,Entertainment,1,0,0
Leatherhead Constitutional Club,4250314.0,51.29716982261856,-0.3275109592543684,Entertainment,1,0,0
Hoe Street Club & Institute,4250314.0,51.58937571138021,-0.0183359174285067,Entertainment,1,0,0
Hollywood Bowl,4240290.0,51.377942799630524,-0.2804266169306137,Sports,0,0,1
M B N Promotions,4210273.0,51.59969026068234,-0.2248936327161214,Entertainment,1,0,0
Malden Centre,4240293.0,51.40029372173976,-0.2524633920456538,Sports,0,0,1
Stag Lodge Stables,4230321.0,51.436417982658526,-0.2558733451379794,Sports,0,0,1
Ambassadors Theatre,4250315.0,51.512995909626575,-0.1280136879911604,Entertainment,1,0,0
Embargo Republica,4250312.0,51.48025589036813,-0.1853336151337751,Entertainment,1,0,0
Phil McIntyre Entertainments,4210273.0,51.516746532296295,-0.1353994359874776,Entertainment,1,0,0
Dukes Meadows,4240292.0,51.47243318280009,-0.2638983590667394,Sports,0,0,1
LA Fitness,4240293.0,51.589790622291126,-0.1415323493773602,Sports,0,0,1
Pulse Studios,4250315.0,51.59124625128307,-0.0386827789076657,Entertainment,1,0,0
Suzohapp,4220277.0,51.3421255143824,-0.2645808398583636,Entertainment,1,0,0
Shooters Hill Golf Club,4240292.0,51.47178628953033,0.0732912319611164,Sports,0,0,1
Queens,4240294.0,51.510943212260585,-0.1874002410778985,Sports,0,0,1
Old Isleworthians Association,4250314.0,51.47752133945373,-0.3339622815070893,Entertainment,1,0,0
Stones Gym & Fitness Centre,4240293.0,51.407686268281786,-0.1020129303350062,Sports,0,0,1
Michael Shilling Entertainments,4210273.0,51.39759895001512,0.0408017312784105,Entertainment,1,0,0
Jonh Grosse,4210273.0,51.47302320765691,-0.3542645890415302,Entertainment,1,0,0
Raven Dive,4220280.0,51.41172994884305,-0.3023553538073684,Gambling,0,1,0
Sahibs Ltd,4250314.0,51.60221893733541,-0.4096949864898236,Entertainment,1,0,0
Power League Fives Ltd,4240293.0,51.52519476227841,0.0779482005442746,Sports,0,0,1
Acton Garden Village Association,4250314.0,51.51763422528738,-0.2744933895757184,Entertainment,1,0,0
Cherry Lodge Golf Club,4240292.0,51.310176665572186,0.0542821186549002,Sports,0,0,1
Amabilino Pyro Displays,4210274.0,51.61609600448895,-0.1843391340562442,Entertainment,1,0,0
Global Artists,4210273.0,51.51492580576996,-0.1221695286869476,Entertainment,1,0,0
Criterion Theatre,4250315.0,51.50953866922938,-0.1339629905054429,Entertainment,1,0,0
Dartford Golf Club,4240292.0,51.43487893573937,0.1967437824125958,Sports,0,0,1
Costume Workshop Ltd,4210273.0,51.535500187118586,-0.0602433068778533,Entertainment,1,0,0
Walton Working Men's Club,4250314.0,51.38723616569944,-0.4192857764799344,Entertainment,1,0,0
Uxbridge Royal Naval Association,4250314.0,51.55118716400373,-0.4478657019759544,Entertainment,1,0,0
Zone Gym,4240293.0,51.5945518159075,-0.1130543631893274,Sports,0,0,1
Pinner Hill Golf Club,4240292.0,51.61157870736201,-0.399168470744882,Sports,0,0,1
Dawn Sedgwick Management,4210273.0,51.51090322662744,-0.1264854052665583,Entertainment,1,0,0
Q Stix Snookerhalls,4240301.0,51.44730309241843,-0.0195283355725283,Sports,0,0,1
Glenmore House,4250762.0,51.395163944516426,-0.3052096556557262,Entertainment,1,0,0
Fullbrook Sports Centre,4240293.0,51.34341510858779,-0.5062390634734001,Sports,0,0,1
Canons Leisure Centre,4240293.0,51.400496034080376,-0.1630889430985317,Sports,0,0,1
Las Vegas,4220277.0,51.51264668355094,-0.1337495147067376,Entertainment,1,0,0
Royal Automobile Country Club,4240292.0,51.31537796507346,-0.2767687109713113,Sports,0,0,1
Rawlings Amusements,4220277.0,51.4354105950359,-0.4518071156105129,Entertainment,1,0,0
Poynters Riding Centre,4230321.0,51.31285053023029,-0.4232781980225104,Sports,0,0,1
Power League Fives Ltd,4240293.0,51.35694808797684,-0.1238211092553555,Sports,0,0,1
Cavellary & Guards Club,4250314.0,51.50428989281016,-0.148327263817824,Entertainment,1,0,0
Orange Tree Theatre,4250315.0,51.46442315675706,-0.3013781627478296,Entertainment,1,0,0
Fairlawn Farm,4230321.0,51.33970213216973,-0.1859509819862757,Sports,0,0,1
Powerleague Soccer Centre,4240293.0,51.6065783326038,-0.0532581337265478,Sports,0,0,1
Power League Soccer Centre,4240293.0,51.607538111451376,-0.2267566977450559,Sports,0,0,1
Labyrinthe Club,4250314.0,51.40729127342836,0.0578841914519131,Entertainment,1,0,0
Muscle Base Gym,4240293.0,51.6503218995789,-0.0362349529268177,Sports,0,0,1
Westcroft Leisure Centre,4240293.0,51.36796087714238,-0.1583530604245669,Sports,0,0,1
Puppet Theatre Barge,4210273.0,51.52172155533623,-0.182518184240558,Entertainment,1,0,0
Supreme Council 33rd Degree,4250314.0,51.50725729781331,-0.1375290480651503,Entertainment,1,0,0
Professional Speakers Association Ltd,4210273.0,51.39071719612899,-0.5050154499419931,Entertainment,1,0,0
Metro Flex Gym,4240293.0,51.42486458384837,-0.0327829289549266,Sports,0,0,1
Thinking Wide,4210273.0,51.52491127260284,-0.1875808099664278,Entertainment,1,0,0
Pavilion Leisure Centre,4240293.0,51.403444290562135,0.0179568488042826,Sports,0,0,1
Pratt's Club,4250314.0,51.50640052627448,-0.1396390074427643,Entertainment,1,0,0
Sternberg Clarke Entertainment,4210273.0,51.457158363409576,-0.1982027912771423,Entertainment,1,0,0
All Star Lanes,4240290.0,51.51920573572522,-0.1221376285409436,Sports,0,0,1
Century Club,4250314.0,51.547348215530576,0.0355393363987405,Entertainment,1,0,0
The Agency Excellent Entertainment Ltd,4210273.0,51.63619503980567,-0.1778024142569103,Entertainment,1,0,0
Latin Touch Entertainment,4210273.0,51.50615610550896,-0.2590188505654159,Entertainment,1,0,0
Metropolis,4250312.0,51.53248729036125,-0.0567971005426407,Entertainment,1,0,0
Costume Studio,4210273.0,51.54634049291592,-0.0823825424120914,Entertainment,1,0,0
Quadrangle Livery Yard,4230321.0,51.3542220634171,0.1353605176088488,Sports,0,0,1
The Body Factory,4240293.0,51.53905928713052,0.1286295424977848,Sports,0,0,1
Purley Leisure Centre,4240304.0,51.33905640809429,-0.1148792045238337,Sports,0,0,1
Purley Downs Golf Club,4240292.0,51.340210096036586,-0.096138113714332,Sports,0,0,1
Nuffield Fitness & Wellbeing Centres,4240293.0,51.29467541933176,-0.3281509424148339,Sports,0,0,1
The Borderline,4210273.0,51.51488621303616,-0.1303863277557072,Entertainment,1,0,0
Topgolf,4210273.0,51.64267485810232,0.0955675865351833,Entertainment,1,0,0
Camden Peoples Theatre,4250315.0,51.52639896172551,-0.1384491598905449,Entertainment,1,0,0
Sidcup Leisure Centre,4240293.0,51.436577415867255,0.104178075921985,Sports,0,0,1
Camphill Club,4250314.0,51.34125289698342,-0.4995900833458093,Entertainment,1,0,0
Surrey Downs Golf Club,4240292.0,51.28996473276463,-0.1891781430870308,Sports,0,0,1
Priory Conservative Club,4250314.0,51.48466427131508,0.1477149311473726,Entertainment,1,0,0
Centro Desportivo Cultural Portuguese,4250314.0,51.47454144145517,-0.121121277761784,Entertainment,1,0,0
Central Park,4240292.0,51.55789942777477,0.1620558953590427,Sports,0,0,1
Surrey Docks Play Association,4250314.0,51.49278630424472,-0.043790573525422,Entertainment,1,0,0
Queensbridge Sports & Community Centre,4240293.0,51.54236279708876,-0.0712290026961782,Sports,0,0,1
R A O B Club,4250314.0,51.369001871690685,-0.5008813464539793,Entertainment,1,0,0
The Royal British Legion,4250314.0,51.66616475733873,-0.3738227354809315,Entertainment,1,0,0
Viva Vegas - Casino Hire London,4210273.0,51.47998897820442,-0.1238065236449346,Entertainment,1,0,0
Nuffield Fitness & Wellbeing Centres,4240293.0,51.40528122861004,-0.1183827710680209,Sports,0,0,1
Sir Mark Collett Pavilion,4240293.0,51.30684101584727,0.2367948002982831,Sports,0,0,1
Titan Fitness & Body Building Centre,4240293.0,51.542869458700686,-0.055617888611142,Sports,0,0,1
Wimbledon Village Stables,4230321.0,51.42487643649081,-0.2179333283588536,Sports,0,0,1
Thirty Fifty,4210273.0,51.43902916136396,-0.3333704191535864,Entertainment,1,0,0
Pyrford Golf Club,4240292.0,51.31589958341005,-0.4950936196774785,Sports,0,0,1
William Hill,4220279.0,51.60198564453242,-0.4097320156928777,Gambling,0,1,0
Admiral Casino,4220277.0,51.4729667704018,-0.0701256584040212,Entertainment,1,0,0
Spring Health Leisure,4240293.0,51.54603763173786,-0.1646464148594097,Sports,0,0,1
Sutton Arena Leisure Centre,4240293.0,51.38409048445921,-0.1814039781156454,Sports,0,0,1
Stuart Learmonth Hire,4210273.0,51.50424524530703,-0.2581118677190904,Entertainment,1,0,0
Professor Palmermoff Magic Show,4210273.0,51.4642278440401,-0.0323718010894658,Entertainment,1,0,0
Carpenders Park & South Oxhey Labour Hall,4250314.0,51.6270256200303,-0.3893292279712775,Entertainment,1,0,0
Rainham Working Men's Club,4250314.0,51.51876479955466,0.1944230690239617,Entertainment,1,0,0
Jorg Betts Associates,4210273.0,51.521523018672816,-0.114676397089303,Entertainment,1,0,0
Fusion,4240302.0,51.45025103431963,-0.0220921433274895,Sports,0,0,1
La Capammina Nightclub,4250312.0,51.514246483487696,-0.1314357999951036,Entertainment,1,0,0
Prangsta Costumiers,4210273.0,51.47539997587157,-0.0373919744263076,Entertainment,1,0,0
Everyone Active,4240293.0,51.62739638944259,-0.3923689109548262,Sports,0,0,1
Keith Davis Cue Sports Club Ltd,4240301.0,51.54002609644983,0.1278815032771951,Sports,0,0,1
