"name","pointx_class","lat","lon","poi_class","Entertainment","Gambling","Sports","id"
"Turtle Key Arts",4210273,51.4932474136451,-0.226305905685741,"Entertainment",1,0,0,195
"Bellegrove Social Club",4250314,51.463669940937,0.10234326349386,"Entertainment",1,0,0,196
"International Event Management Ltd",4210273,51.5175073597037,-0.180408642171468,"Entertainment",1,0,0,197
"Leatherhead Constitutional Club",4250314,51.2971698226186,-0.327510959254368,"Entertainment",1,0,0,198
"Hoe Street Club & Institute",4250314,51.5893757113802,-0.0183359174285067,"Entertainment",1,0,0,199
"Hollywood Bowl",4240290,51.3779427996305,-0.280426616930614,"Sports",0,0,1,200
"M B N Promotions",4210273,51.5996902606823,-0.224893632716121,"Entertainment",1,0,0,201
"Malden Centre",4240293,51.4002937217398,-0.252463392045654,"Sports",0,0,1,202
"Stag Lodge Stables",4230321,51.4364179826585,-0.255873345137979,"Sports",0,0,1,203
"Ambassadors Theatre",4250315,51.5129959096266,-0.12801368799116,"Entertainment",1,0,0,204
"Embargo Republica",4250312,51.4802558903681,-0.185333615133775,"Entertainment",1,0,0,205
"Phil McIntyre Entertainments",4210273,51.5167465322963,-0.135399435987478,"Entertainment",1,0,0,206
"Dukes Meadows",4240292,51.4724331828001,-0.263898359066739,"Sports",0,0,1,207
"LA Fitness",4240293,51.5897906222911,-0.14153234937736,"Sports",0,0,1,208
"Pulse Studios",4250315,51.5912462512831,-0.0386827789076657,"Entertainment",1,0,0,209
